Spectroscopic Data at 13.069 min.		
Wavelength (nm)	p-Intensity	s-Intensity
1486	0.40362	0.769314
1492	0.403404	0.768399
1498	0.402958	0.766949
1504	0.403385	0.767256
1510	0.404142	0.768337
1516	0.404997	0.769504
1522	0.406147	0.771028
1528	0.407007	0.771926
1534	0.408049	0.77295
1540	0.408854	0.774431
1546	0.409464	0.775466
1552	0.409146	0.774239
1558	0.408159	0.772516
1564	0.408059	0.771854
1570	0.408053	0.771125
1576	0.408407	0.771442
1582	0.409649	0.773761
1588	0.410676	0.775404
1594	0.411207	0.774954
1600	0.412414	0.776157
1606	0.412808	0.776806
1612	0.413765	0.778258
1618	0.413509	0.777377
1624	0.414493	0.779652
1630	0.41624	0.782722
1636	0.41679	0.7826
1642	0.41717	0.783939
1648	0.416645	0.781086
1654	0.417611	0.783124
1660	0.418187	0.783715
1666	0.417943	0.782537
1672	0.41808	0.782705
1678	0.418258	0.782768
1684	0.417614	0.780894
1690	0.416333	0.778365
1696	0.416176	0.778208
1702	0.417056	0.779519
1708	0.417067	0.778986
1714	0.418297	0.781597
1720	0.4193	0.783259
1726	0.419734	0.783264
1732	0.420031	0.782928
1738	0.420225	0.7826
1744	0.4206	0.783111
1750	0.421342	0.784295
1756	0.423269	0.788279
1762	0.42385	0.788916
1768	0.424882	0.789915
1774	0.426028	0.791904
1780	0.426025	0.792067
1786	0.425272	0.78954
1792	0.426473	0.791581
1798	0.425744	0.790129
1804	0.42671	0.792378
1810	0.426228	0.791072
1816	0.427592	0.792999
1822	0.428202	0.793524
1828	0.426845	0.790397
1834	0.42688	0.790048
1840	0.426394	0.789384
1846	0.425863	0.787811
1852	0.425971	0.787961
1858	0.426424	0.788444
1864	0.427696	0.790627
1870	0.429242	0.793399
1876	0.430052	0.79453
1882	0.429908	0.793691
1888	0.429792	0.793593
1894	0.430853	0.796045
1900	0.430114	0.794121
1906	0.430055	0.794349
1912	0.430778	0.794586
1918	0.432655	0.796912
1924	0.434704	0.800508
1930	0.435623	0.802422
1936	0.436426	0.803893
1942	0.435202	0.801113
1948	0.436209	0.802575
1954	0.434633	0.798718
1960	0.434616	0.799297
1966	0.435083	0.800425
1972	0.434894	0.799768
1978	0.435167	0.799829
1984	0.436565	0.801616
1990	0.435782	0.799537
1996	0.436441	0.80118
2002	0.435571	0.799573
2008	0.434538	0.79705
2014	0.433138	0.794111
2020	0.431664	0.791089
2026	0.430148	0.78831
2032	0.429817	0.787759
2038	0.431017	0.789771
2044	0.430596	0.789719
2050	0.43305	0.793687
2056	0.433842	0.795149
2062	0.435036	0.79664
2068	0.436351	0.798207
2074	0.437192	0.800034
2080	0.437499	0.800719
2086	0.437597	0.799846
2092	0.437231	0.798534
2098	0.436719	0.798572
2104	0.438001	0.800949
2110	0.439136	0.802954
2116	0.43903	0.804627
2122	0.442351	0.808924
2128	0.444802	0.812546
2134	0.444002	0.811143
2140	0.442815	0.808776
2146	0.442231	0.807928
2152	0.442596	0.807976
2158	0.442122	0.806155
2164	0.439862	0.802856
2170	0.439247	0.802437
2176	0.440787	0.803535
2182	0.440304	0.801745
2188	0.442021	0.805694
2194	0.441889	0.806441
2200	0.443095	0.807078
2206	0.443062	0.807368
2212	0.441545	0.805115
2218	0.441108	0.804334
2224	0.441861	0.804813
2230	0.440705	0.801301
2236	0.439257	0.797813
2242	0.438965	0.797888
2248	0.438299	0.797455
2254	0.438095	0.797198
2260	0.439306	0.799672
2266	0.44012	0.800646
2272	0.441521	0.803045
2278	0.442283	0.804407
2284	0.443328	0.804196
2290	0.443779	0.806973
2296	0.446859	0.809859
2302	0.445594	0.806579
2308	0.44233	0.803616
2314	0.44038	0.801027
2320	0.44117	0.801479
2326	0.441754	0.801844
2332	0.443069	0.801604
2338	0.443705	0.80587
2344	0.444554	0.807604
2350	0.448065	0.811194
2356	0.448926	0.814319
2362	0.449443	0.818768
2368	0.451372	0.819875
2374	0.45364	0.81901
2380	0.452581	0.817093
2386	0.451284	0.815555
2392	0.449064	0.812935
2398	0.446824	0.807241
2404	0.444635	0.80517
2410	0.442741	0.802135
2416	0.442733	0.802609
2422	0.444226	0.803835
2428	0.446933	0.808217
2434	0.448653	0.81134
2440	0.447955	0.812261
2446	0.449584	0.811433
2452	0.446085	0.809534
2458	0.451405	0.81131
2464	0.447488	0.806296
2470	0.447545	0.808134
2476	0.445189	0.806764
2482	0.444873	0.804206
2488	0.445145	0.803874
2494	0.441816	0.79869
2500	0.445526	0.804015
