Spectroscopic Data at 13.069 min.		
Wavelength (nm)	Psi	Delta
2386	36.644543	165.542587
2392	36.621033	165.504745
2398	36.648846	165.54837
2404	36.616726	165.582733
2410	36.609955	165.772781
2416	36.601624	166.012787
2422	36.626877	165.818054
2428	36.635628	165.887756
2434	36.635399	165.991364
2440	36.598507	165.922958
2446	36.662285	166.067307
2452	36.587246	166.119644
2458	36.71983	166.039505
2464	36.685295	165.950378
2470	36.655807	166.079575
2476	36.60667	166.040543
2482	36.640488	166.288864
2488	36.654556	166.566101
2494	36.640312	166.303391
2500	36.663895	166.319077
