wavelength_nm,reflectance
687.42,0.31132
687.77,0.30564
688.11,0.30827
688.45,0.31271
688.79,0.30898
689.13,0.30541
689.48,0.30807
689.82,0.30687
690.16,0.30342
690.5,0.30646
690.84,0.30655
691.18,0.30779
691.52,0.3141
691.87,0.30919
692.21,0.31014
692.55,0.30384
692.89,0.30288
693.23,0.30577
693.57,0.30688
693.91,0.30329
694.25,0.30579
694.59,0.30386
694.94,0.30623
695.28,0.29966
695.62,0.30668
695.96,0.30397
696.3,0.30608
696.64,0.30108
696.98,0.30591
697.32,0.30185
697.66,0.30643
698,0.30824
698.34,0.30276
698.68,0.30413
699.02,0.30363
699.36,0.29981
699.7,0.30803
700.04,0.30531
700.38,0.30789
700.72,0.30508
701.06,0.30332
701.4,0.30125
701.74,0.29773
702.08,0.30349
702.42,0.30369
702.76,0.30382
703.1,0.30704
703.44,0.30841
703.78,0.30366
704.12,0.3051
704.46,0.30521
704.8,0.30103
705.14,0.30521
705.48,0.31032
705.82,0.30195
706.16,0.30433
706.5,0.30694
706.84,0.30462
707.18,0.30747
707.52,0.30266
707.86,0.3003
708.2,0.30768
708.53,0.3014
708.87,0.30355
709.21,0.30751
709.55,0.30857
709.89,0.30827
710.23,0.30762
710.57,0.30497
710.91,0.30924
711.25,0.30804
711.58,0.30886
711.92,0.30875
712.26,0.30845
712.6,0.31146
712.94,0.3094
713.28,0.30702
713.62,0.30744
713.95,0.31526
714.29,0.30996
714.63,0.31159
714.97,0.31168
715.31,0.31426
715.64,0.31537
715.98,0.31582
716.32,0.31334
716.66,0.31372
717,0.31189
717.33,0.30913
717.67,0.31308
718.01,0.31116
718.35,0.30996
718.69,0.31284
719.02,0.31712
719.36,0.31275
719.7,0.3141
720.04,0.31461
720.37,0.31224
720.71,0.31255
721.05,0.31338
721.38,0.31081
721.72,0.31612
722.06,0.31255
722.4,0.31377
722.73,0.31165
723.07,0.31204
723.41,0.31545
723.74,0.31624
724.08,0.31424
724.42,0.31609
724.76,0.31286
725.09,0.32047
725.43,0.31654
725.77,0.31725
726.1,0.31578
726.44,0.31368
726.78,0.31811
727.11,0.31942
727.45,0.32267
727.78,0.31301
728.12,0.32005
728.46,0.31401
728.79,0.31762
729.13,0.32199
729.47,0.31568
729.8,0.31841
730.14,0.31999
730.47,0.31428
730.81,0.31844
731.15,0.32372
731.48,0.32012
731.82,0.32332
732.15,0.32446
732.49,0.32429
732.82,0.3258
733.16,0.32051
733.5,0.32237
733.83,0.32409
734.17,0.32434
734.5,0.32982
734.84,0.32949
735.17,0.32771
735.51,0.32783
735.84,0.32685
736.18,0.32765
736.51,0.32247
736.85,0.33059
737.18,0.32776
737.52,0.32037
737.85,0.32638
738.19,0.3277
738.52,0.328
738.86,0.32644
739.19,0.33272
739.53,0.32701
739.86,0.32877
740.2,0.32667
740.53,0.3295
740.87,0.32237
741.2,0.32793
741.54,0.33254
741.87,0.32528
742.2,0.32952
742.54,0.32599
742.87,0.32381
743.21,0.32855
743.54,0.32492
743.88,0.32875
744.21,0.32519
744.54,0.3234
744.88,0.32223
745.21,0.32487
745.55,0.32412
745.88,0.32289
746.21,0.32358
746.55,0.32197
746.88,0.3269
747.21,0.32069
747.55,0.3245
747.88,0.32444
748.21,0.32581
748.55,0.32233
748.88,0.3291
749.21,0.32634
749.55,0.31901
749.88,0.32396
750.21,0.32587
750.55,0.31883
750.88,0.32107
751.21,0.32732
751.55,0.32183
751.88,0.32519
752.21,0.31972
752.55,0.32571
752.88,0.32659
753.21,0.32213
753.54,0.31957
753.88,0.32033
754.21,0.31746
754.54,0.32303
754.87,0.32436
755.21,0.32495
755.54,0.32874
755.87,0.32132
756.2,0.32033
756.54,0.32126
756.87,0.32204
757.2,0.32741
757.53,0.32444
757.86,0.32441
758.2,0.31943
758.53,0.32515
758.86,0.32249
759.19,0.32341
759.52,0.32225
759.86,0.32458
760.19,0.31908
760.52,0.3246
760.85,0.32196
761.18,0.32382
761.51,0.32273
761.85,0.32148
762.18,0.32589
762.51,0.32544
762.84,0.32463
763.17,0.32063
763.5,0.32395
763.83,0.31947
764.16,0.32593
764.5,0.31972
764.83,0.3253
765.16,0.31988
765.49,0.3195
765.82,0.32065
766.15,0.32293
766.48,0.32619
766.81,0.32192
767.14,0.32435
767.47,0.32613
767.8,0.32401
768.13,0.32435
768.47,0.32036
768.8,0.32527
769.13,0.32293
769.46,0.32359
769.79,0.32187
770.12,0.32191
770.45,0.32446
770.78,0.32433
771.11,0.32848
771.44,0.32442
771.77,0.3299
772.1,0.3282
772.43,0.32862
772.76,0.3203
773.09,0.32797
773.42,0.32415
773.75,0.32782
774.08,0.32704
774.41,0.32325
774.74,0.3263
775.07,0.32697
775.4,0.32281
775.72,0.32841
776.05,0.32506
776.38,0.32154
776.71,0.32616
777.04,0.32994
777.37,0.32526
777.7,0.32729
778.03,0.3281
778.36,0.3257
778.69,0.31983
779.02,0.32535
779.35,0.32428
779.67,0.32871
780,0.33167
780.33,0.33033
780.66,0.33147
780.99,0.33626
781.32,0.32094
781.65,0.3259
781.98,0.33183
782.3,0.32154
782.63,0.32224
782.96,0.33465
783.29,0.32879
783.62,0.32841
783.95,0.32886
784.27,0.33252
784.6,0.33002
784.93,0.32819
785.26,0.33289
785.59,0.33034
785.91,0.32401
786.24,0.33189
786.57,0.3362
786.9,0.3234
787.22,0.33214
787.55,0.33509
787.88,0.33344
788.21,0.33638
788.54,0.32735
788.86,0.33485
789.19,0.3348
789.52,0.32873
789.84,0.33146
790.17,0.32849
790.5,0.33477
790.83,0.34254
791.15,0.33322
791.48,0.33495
791.81,0.33496
792.13,0.33524
792.46,0.33631
792.79,0.33875
793.12,0.34288
793.44,0.33423
793.77,0.33497
794.1,0.33586
794.42,0.33787
794.75,0.34285
795.08,0.33734
795.4,0.34304
795.73,0.33518
796.06,0.341
796.38,0.3336
796.71,0.33666
797.03,0.34006
797.36,0.33655
797.69,0.34353
798.01,0.33562
798.34,0.33591
798.66,0.34609
798.99,0.33552
799.32,0.33622
799.64,0.34412
799.97,0.34372
800.29,0.33785
800.62,0.33619
800.95,0.33656
801.27,0.33488
801.6,0.32819
801.92,0.3388
802.25,0.34567
802.57,0.34078
802.9,0.34702
803.22,0.33611
803.55,0.34156
803.87,0.33738
804.2,0.34156
804.52,0.3364
804.85,0.34442
805.17,0.33616
805.5,0.32735
805.82,0.34025
806.15,0.3421
806.47,0.33576
806.8,0.34217
807.12,0.34154
807.45,0.34434
807.77,0.34399
808.1,0.34009
808.42,0.33868
808.75,0.34392
809.07,0.34303
809.39,0.33511
809.72,0.34025
810.04,0.33612
810.37,0.34754
810.69,0.34421
811.02,0.33813
811.34,0.35085
811.66,0.34074
811.99,0.34336
812.31,0.34362
812.64,0.34367
812.96,0.34707
813.28,0.34179
813.61,0.35135
813.93,0.3483
814.25,0.3513
814.58,0.34131
814.9,0.34208
815.22,0.34611
815.55,0.34629
815.87,0.34899
816.19,0.3436
816.52,0.34028
816.84,0.34704
817.16,0.34647
817.49,0.34538
817.81,0.342
818.13,0.34653
818.46,0.34455
818.78,0.3441
819.1,0.34827
819.42,0.34218
819.75,0.34153
820.07,0.3459
820.39,0.35083
820.72,0.34709
821.04,0.34867
821.36,0.34505
821.68,0.34241
822.01,0.34481
822.33,0.34926
822.65,0.34697
822.97,0.34796
823.29,0.35207
823.62,0.35918
823.94,0.35252
824.26,0.35252
824.58,0.35136
824.9,0.35365
825.23,0.3541
