wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1190,251.926435294,60,54.9358837405,0.205636355516,0.287616312751,0.0819799572348,0.0819799572348,0.00174417641891,11,-0.6,-0.4,false
1200,249.827048333,35,38.3522229072,0.0287687884421,0.0536899074584,0.0249211190163,0.0249211190163,0.00120580986057,11,-0.6,-0.4,false
1200,249.827048333,36,39.0137585711,0.0274277796418,0.0531338765126,0.0257060968709,0.0257060968709,0.000806116321955,11,-0.6,-0.4,false
1200,249.827048333,37,39.6763222586,0.025866592301,0.0522468075997,0.0263802152987,0.0263802152987,0.000813122368369,11,-0.6,-0.4,false
1200,249.827048333,38,40.3397973986,0.0245281268632,0.0509376534464,0.0264095265833,0.0264095265833,0.000978921646471,11,-0.6,-0.4,false
1200,249.827048333,39,41.0040682498,0.0212751351603,0.0490797924879,0.0278046573276,0.0278046573276,0.000959555863429,11,-0.6,-0.4,false
1200,249.827048333,40,41.6690197955,0.0195950173708,0.0464877032551,0.0268926858843,0.0268926858843,0.00146010257786,11,-0.6,-0.4,false
1200,249.827048333,41,42.3345376402,0.0164207194341,0.042868220897,0.0264475014629,0.0264475014629,0.00106846655619,11,-0.6,-0.4,false
1200,249.827048333,42,43.0005079045,0.0126556844798,0.0376988279999,0.0250431435201,0.0250431435201,0.000529533395,11,-0.6,-0.4,true
1200,249.827048333,43,43.6668171225,0.0132946849083,0.0298089497601,0.0165142648518,0.0165142648518,0.000854536862482,11,-0.6,-0.4,true
1200,249.827048333,44,44.3333521377,0.0177459589552,0.0131431231593,-0.00460283579596,0.00460283579596,0.000952747776793,11,-0.6,-0.4,true
1200,249.827048333,45,45,0.0226300275295,0.0109496927104,-0.0116803348191,0.0116803348191,0.00120246534682,11,-0.6,-0.4,true
1200,249.827048333,46,45.6666478623,0.0331579180023,0.0247658174161,-0.0083921005862,0.0083921005862,0.00124113967899,11,-0.6,-0.4,true
1200,249.827048333,47,46.3331828775,0.0449108146793,0.0406713397071,-0.00423947497223,0.00423947497223,0.000918310537607,11,-0.6,-0.4,true
1200,249.827048333,48,46.9994920955,0.0589300532111,0.0574784088882,-0.00145164432294,0.00145164432294,0.000942280482312,11,-0.6,-0.4,true
1200,249.827048333,49,47.6654623598,0.0706899256853,0.0747000452604,0.00401011957507,0.00401011957507,0.000723555107819,11,-0.6,-0.4,true
1200,249.827048333,50,48.3309802045,0.0841153261448,0.0920789618889,0.00796363574405,0.00796363574405,0.00120259967554,11,-0.6,-0.4,true
1200,249.827048333,51,48.9959317502,0.0972345608851,0.109462860995,0.0122283001098,0.0122283001098,0.00112710337544,11,-0.6,-0.4,true
1200,249.827048333,52,49.6602026014,0.10902889432,0.126756231036,0.0177273367159,0.0177273367159,0.00192493833913,11,-0.6,-0.4,true
1200,249.827048333,53,50.3236777414,0.123186893684,0.143897516953,0.0207106232685,0.0207106232685,0.00136764100027,11,-0.6,-0.4,true
1200,249.827048333,54,50.9862414289,0.131942658094,0.160846822985,0.0289041648908,0.0289041648908,0.0014290386438,11,-0.6,-0.4,false
1200,249.827048333,55,51.6477770928,0.142643325939,0.177578679078,0.0349353531395,0.0349353531395,0.00132594554782,11,-0.6,-0.4,false
1200,249.827048333,56,52.3081672277,0.154393579794,0.194077508856,0.0396839290618,0.0396839290618,0.0007958384706,11,-0.6,-0.4,false
1200,249.827048333,57,52.9672932881,0.166666166806,0.210334654888,0.0436684880819,0.0436684880819,0.00146044103517,11,-0.6,-0.4,false
1200,249.827048333,58,53.6250355825,0.17326279189,0.226346356384,0.0530835644943,0.0530835644943,0.00114090201311,11,-0.6,-0.4,false
1200,249.827048333,59,54.2812731675,0.182895507114,0.24211233693,0.0592168298161,0.0592168298161,0.00116118912424,11,-0.6,-0.4,false
1200,249.827048333,60,54.9358837405,0.184526070941,0.257634797535,0.0731087265944,0.0731087265944,0.00138736009725,11,-0.6,-0.4,false
1210,247.762361983,35,38.3522229072,0.0337539095461,0.0632187194249,0.0294648098788,0.0294648098788,0.00117077275807,11,-0.6,-0.4,false
