wvl ( nm)	e1	e2
1369,495374	1,707799	25,410667
1370,218738	1,716673	25,424496
1370,544349	1,720668	25,430712
1370,942866	1,725565	25,438326
1371,669277	1,734475	25,452164
1372,39494	1,743397	25,465998
1373,121371	1,752337	25,479837
1373,850093	1,761292	25,493677
1373,982533	1,762921	25,496193
1374,578066	1,770265	25,507523
1375,30681	1,77925	25,521366
1376,037854	1,788252	25,535212
1376,768148	1,797269	25,549059
1377,419649	1,80532	25,561403
1377,499217	1,806304	25,562912
1378,232595	1,815354	25,576765
1378,96522	1,824421	25,59062
1379,698625	1,833502	25,604475
1380,43281	1,842598	25,618332
1380,858627	1,847861	25,626341
1381,169316	1,851711	25,632193
1381,905068	1,860842	25,646057
1382,641604	1,869985	25,65992
1383,380469	1,879149	25,67379
1384,118579	1,888324	25,687656
1384,296275	1,89054	25,691002
1384,857477	1,897516	25,701525
1385,598713	1,906723	25,715393
1386,339192	1,915949	25,729271
1387,080464	1,925189	25,743143
1387,735551	1,933356	25,75539
1387,824082	1,934446	25,757023
1388,566943	1,943717	25,770899
1389,310599	1,953005	25,784779
1390,056611	1,962309	25,798662
1390,801865	1,971628	25,812544
1391,176352	1,976305	25,819502
1391,547918	1,980963	25,826427
1392,296335	1,990316	25,840317
1393,043992	1,999682	25,854202
1393,792453	2,009066	25,868093
1394,541719	2,018464	25,881983
1394,615435	2,019382	25,883339
1395,29336	2,027878	25,895874
1396,044241	2,037309	25,909767
1396,79593	2,046756	25,923662
1397,550005	2,056218	25,937557
1398,0558	2,062586	25,946898
1398,303317	2,065697	25,951458
1399,057441	2,075191	25,965355
1399,81396	2,084701	25,979254
1400,569716	2,094226	25,993155
1401,326288	2,10377	26,007059
1401,497342	2,105913	26,01018
1402,083677	2,113327	26,020962
1402,843473	2,122902	26,034868
1403,602504	2,132491	26,048775
1404,362357	2,142095	26,062679
1404,938358	2,14936	26,073183
1405,124625	2,151719	26,076591
1405,886128	2,161355	26,090498
1406,648456	2,171008	26,104408
1407,413209	2,180679	26,118322
1408,177194	2,190363	26,132235
1408,378718	2,192924	26,13591
1408,94201	2,200066	26,146151
1409,709259	2,209781	26,160063
1410,47574	2,219513	26,173977
1411,243055	2,229261	26,187893
1411,8215	2,236603	26,198359
1412,012813	2,239028	26,201811
1412,781802	2,248807	26,215729
1413,551628	2,258606	26,22965
1414,323908	2,268418	26,24357
1415,095416	2,278246	26,25749
1415,263387	2,280391	26,260525
1415,867767	2,288089	26,27141
1416,640961	2,297951	26,285334
1417,416621	2,307825	26,299253
1418,191508	2,31772	26,313181
1418,705866	2,324287	26,322412
1418,967244	2,327627	26,327105
1419,745453	2,33755	26,341028
1420,52289	2,347491	26,354956
1421,301178	2,357446	26,368881
1422,081951	2,367417	26,382807
1422,148821	2,368288	26,384022
1422,861949	2,377407	26,396736
1423,642803	2,387408	26,410662
1424,424515	2,397427	26,424589
1425,208724	2,407465	26,438522
1425,592138	2,412391	26,445353
1425,992157	2,417514	26,452448
1426,776452	2,427581	26,466377
1427,563253	2,437666	26,48031
1428,349277	2,447764	26,49424
1429,037347	2,456593	26,506399
1429,136168	2,45788	26,508171
1429,925575	2,468011	26,522102
1430,714203	2,478157	26,536034
1431,503702	2,488318	26,549963
1432,295727	2,498498	26,563898
1432,481046	2,50089	26,567167
1433,086973	2,508692	26,577829
1433,879094	2,518904	26,591764
1434,673751	2,529129	26,605694
1435,467627	2,53937	26,619625
1435,926416	2,545281	26,627657
1436,262382	2,54963	26,63356
1437,059683	2,559903	26,647493
1437,856203	2,570192	26,661425
1438,653606	2,580499	26,67536
1439,37002	2,589761	26,687864
1439,451894	2,59082	26,689293
1440,252741	2,601156	26,703224
1441,052805	2,611512	26,717161
1441,853759	2,62188	26,731092
1442,657282	2,632265	26,745024
1442,816751	2,63433	26,747791
1443,46002	2,642667	26,758959
1444,263653	2,653083	26,77289
1445,069864	2,663518	26,786825
1445,875291	2,673967	26,800758
1446,261472	2,678982	26,807438
1446,681616	2,68443	26,81469
1447,49053	2,69491	26,828621
1448,298658	2,705408	26,842554
1449,107689	2,715919	26,856485
1449,709123	2,723717	26,866806
1449,919319	2,726448	26,870419
1450,730162	2,736992	26,884348
1451,541912	2,74755	26,898277
1452,354571	2,758127	26,91221
1453,154517	2,76853	26,925892
1453,169844	2,768718	26,92614
1453,984327	2,779325	26,940067
1454,799725	2,789951	26,954
1455,617745	2,800588	26,967926
1456,434976	2,811241	26,981853
1456,602639	2,813419	26,984697
1457,253125	2,821914	26,995785
1458,073908	2,8326	27,00971
1458,8939	2,843301	27,023636
1459,714814	2,854022	27,037565
1460,049971	2,858382	27,043224
1460,538373	2,864755	27,051489
1461,36114	2,875504	27,065413
1462,184834	2,886271	27,079338
1463,009458	2,897052	27,093262
