wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,r0_reflectance_fraction,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps
1190.0,251.92643529411762,48.0,46.999492095494176,0.07845522714250497,0.0012928540663846525,11.0,-0.6,-0.4
1190.0,251.92643529411762,49.0,47.66546235983483,0.09283790062512208,0.0012584242662462613,11.0,-0.6,-0.4
1190.0,251.92643529411762,50.0,48.33098020445266,0.10750434181978973,0.0010690271700696512,11.0,-0.6,-0.4
1190.0,251.92643529411762,51.0,48.99593175024939,0.12064800656868296,0.0017799110427042723,11.0,-0.6,-0.4
1190.0,251.92643529411762,52.0,49.66020260140331,0.13683555868759975,0.0016248027963202153,11.0,-0.6,-0.4
1190.0,251.92643529411762,53.0,50.32367774142317,0.1466398581580361,0.002945286088498889,11.0,-0.6,-0.4
1190.0,251.92643529411762,54.0,50.98624142888759,0.15663462167883788,0.0016401592889845244,11.0,-0.6,-0.4
1190.0,251.92643529411762,55.0,51.64777709282861,0.168800072883928,0.0012670995658117265,11.0,-0.6,-0.4
1190.0,251.92643529411762,56.0,52.30816722772388,0.1781779096856365,0.0013497247357703458,11.0,-0.6,-0.4
1190.0,251.92643529411762,57.0,52.96729328806785,0.18943671362904108,0.001438366833986255,11.0,-0.6,-0.4
1190.0,251.92643529411762,58.0,53.62503558250019,0.19716593604469249,0.0013161229188397862,11.0,-0.6,-0.4
1190.0,251.92643529411762,59.0,54.28127316747721,0.2080004940349875,0.0019827100631660635,11.0,-0.6,-0.4
1190.0,251.92643529411762,60.0,54.93588374048224,0.20563635551582715,0.0017441764189139353,11.0,-0.6,-0.4
1200.0,249.82704833333332,35.0,38.35222290717139,0.028768788442086694,0.0012058098605652748,11.0,-0.6,-0.4
1200.0,249.82704833333332,36.0,39.01375857111241,0.027427779641767815,0.0008061163219546751,11.0,-0.6,-0.4
1200.0,249.82704833333332,37.0,39.67632225857683,0.025866592300989543,0.0008131223683685118,11.0,-0.6,-0.4
1200.0,249.82704833333332,38.0,40.33979739859669,0.02452812686316912,0.0009789216464706544,11.0,-0.6,-0.4
1200.0,249.82704833333332,39.0,41.00406824975061,0.021275135160335714,0.0009595558634294327,11.0,-0.6,-0.4
1200.0,249.82704833333332,40.0,41.66901979554734,0.019595017370804487,0.0014601025778579967,11.0,-0.6,-0.4
1200.0,249.82704833333332,41.0,42.33453764016517,0.01642071943413584,0.0010684665561887714,11.0,-0.6,-0.4
1200.0,249.82704833333332,42.0,43.000507904505824,0.012655684479777026,0.0005295333949996482,11.0,-0.6,-0.4
1200.0,249.82704833333332,43.0,43.66681712251742,0.013294684908320455,0.000854536862482452,11.0,-0.6,-0.4
1200.0,249.82704833333332,44.0,44.33335213773696,0.01774595895521516,0.0009527477767926587,11.0,-0.6,-0.4
1200.0,249.82704833333332,45.0,45.0,0.022630027529527162,0.001202465346821891,11.0,-0.6,-0.4
1200.0,249.82704833333332,46.0,45.66664786226304,0.03315791800227493,0.0012411396789917056,11.0,-0.6,-0.4
1200.0,249.82704833333332,47.0,46.33318287748258,0.04491081467932609,0.0009183105376070499,11.0,-0.6,-0.4
1200.0,249.82704833333332,48.0,46.999492095494176,0.05893005321110514,0.000942280482311752,11.0,-0.6,-0.4
1200.0,249.82704833333332,49.0,47.66546235983483,0.0706899256853268,0.0007235551078186287,11.0,-0.6,-0.4
